,Athleticism,Ball Handling,BigBoardPosition,Birthday,ClassStatus,College,Defense,DraftClass,Height,High School,Hometown,Intangibles,Jump Shot,Leadership,MockPosition,NBA Ready,Name,Overall,Passing,Position,Potential,Quickness,Scouting_Author,Scouting_Notes,Scouting_Report_Date,Scouting_Strengths,Scouting_Weaknesses,Size,Strength,Weight,url
40,8 ,6 ,Overall:,03/04/91,Senior ,Iowa St. ,7 ,Big ,"6-6,",Brewster Academy ,"Toronto, Ontario, Canada ",7 ,8 ,8 ,85,8 ,Melvin Ejim ,83,6 ,Small Forward/Power Forward,6 ,6 ,"Overall: Ejim is a powerful forward who has a scoring instinct when he gets the ball in close.  This is supplemented by a great second-chance scoring ability and decent shooting range.  However, Ejim is limited as both a shot creator on the perimeter and a scorer in close.  All in all, he showed time and time again during his senior year that he could score in a variety of ways, but it will be interesting to see how his game translates to the NBA.  He should get a second round look, though, as he will be one of the more productive and successful players in the lower tiers of this draft",Named AP Big 12 Player of the Year over super-freshman Andrew Wiggins of Kansas and talented OSU guards Marcus Smart and Markel Brown…,class…,"Strong, hard-nosed wing player with a knack for finishing at the rim … Excellent rebounding swingman who averaged 8.4 RPG this season and 9.3 RPG his junior season … Very efficient scorer who shot over 50% from the field last season.  Ejim gets himself a lot of easy, in-close opportunities and knows how to finish through contact … Good post moves for his size.  Scores on a lot of one-handers and floaters around the basket … Great alley-oop target.  Can be a nightmare in transition and is a very fast straight-line sprinter … Makes great cuts to the basket and this is where several of his alley-oops are generated … Hits the offensive glass with ferocity and gets himself a lot of second-chance points.  Decent shooting range.  Can step out and hit a 3 or two every game … Good versatility.  Ejim is an inside-outside threat with both range and post ability … Fairly good athlete, especially in terms of leaping ability …Physically, Ejim has a strong frame and good length (6’10"" wingspan) … Ejim meshed well with fellow stars DeAndre Kane and Georges Niang to lead Iowa St. to a 3 seed and a Sweet Sixteen appearance … Solid free throw shooter (76% last season) who gets to the line at a fair rate due to his physicality around the hoop … Had arguably the performance of the 2013-14 season with an Iowa St. record 48 points on 20-24 shooting against Texas Christian, and recorded 18 rebounds in the same game …
","Ejim’s unique hodgepodge of skills combine to make him a player lacking a true position … His build and limited post ability are reminiscent of a power forward, but he doesn’t have nearly the size or the well-developed post game to be a true power forward … He does, however, have a great deal of athleticism, but his lack of quickness and ball-handling ability limit him as a perimeter player … His first step is not very good, which is a shame considering his finishing ability.  He often needs to get the ball close to the hoop to be able to make use of his ability to fight through contact … His lack of quickness also causes him to sometimes struggle to stay in front of his man on the perimeter, although his strength helps alleviate this concern … For a forward, his ball-handling ability is quite limited and he struggles to create his own shot on the perimeter … Since so much of his game is predicated on going to work inside and cutting to the basket, then getting fed the ball, Ejim could potentially struggle in the NBA as he faces bigger interior defenders … Ejim benefited greatly from playing with Kane and Niang, who were often the two best passers on the court.  When he reaches the NBA, the defense will be less susceptible and he may not have the benefit of playing with a superior setup man … His range is still a little shaky and he’s a passable, but not huge threat from the outside … Another facet of his game that will be limited in the pros is his rebounding.   Once again, the level of athleticism, size, and fundamentals will prevent him from dominating on the boards as he did as a 6’6"" forward at the college level …
",6 ,7 ,220,melvin-ejim
41,8 ,7 ,52,08/15/96,Sophomore ,Miami ,8 ,2018,"6-5,",Vermont Academy ,"Boston, MA ",6 ,6 ,7 ,60,6 ,Bruce Brown ,86,7 ,Shooting Guard,7 ,8 ,Jorrye Nixon,"Measured: 6′ 3.5” barefoot, 6′ 5” in shoes, 194.6 in shoes, 6′ 9” wingspan, 8′ 2.5” standing reach, 3.75% body fat, 8.50 inch hand length at the 2018 NBA Draft Combine … Measured at 6’3, 187 lbs, with a 6’5 wingspan at the 2014 Nike Elite 100 … Measured 6’5’’ in shoes, with a 6’8’.5’ wingspan and 191 lbs at the 2015 Nike Basketball Academy …",6/20/18,"Has a good physical profile to be a smothering defender against guards in the NBA, standing about 6’5 in shoes along with a 6’9 wingspan … Is an above average athlete/leaper, who plays with some high energy and bounciness … Holds claim as the strongest guard at the NBA Draft combine this year, and he has a good frame with wiry strength … Pretty good defensive player, and his potential as a versatile perimeter defender is probably his best calling card as a prospect…Shows solid ball-handling and passing skills, and was effective as a pick and roll player while at Miami … Impressive and highly active rebounder for a guard, averaging 7 boards as a Soph…Has the skillset to make a dent in multiple facets of the game…A slasher, more effective the closer he is to the rim, and has the ability to finish above the rim through contact…Makes hustle plays and looks to get easy baskets when cutting without the ball, and is a backdoor lob threat…Has quick hands … Extremely fit with a sub 4% body fat and was second overall in bench press reps with 17 at the NBA Draft Combine … 
","Had some key chinks in his armor coming back for his Sophomore season, which was ended prematurely due to a foot injury … It was critical for him to build on his just average shooting profile, and he made only 7 3-point field goals of 46 last season … Also struggled from the charity stripe, making only 62% of his free throws…Offensively, he has some rigid areas to his game…His shooting fundamentals are a work in progress, as he shoots a set shot with only mediocre touch and varying releases that lead to inconsistent or downright bad results…Not a big-time scoring threat…Defenses will allow him to shoot pull-up jumpers until he develops it to keep them honest…Relied heavily on his length and strength to get things done while at Miami, and while he has a nice physical profile, his skill level is not polished to operate well when that isn’t working…Likes to go right, and isn’t fully comfortable driving to his off hand … His touch around the rim when contested is just OK … Feel for the game needs improvement, and there are times when he disappears from games … Given his dropoff from his Freshman season, and his alarming shooting numbers this season, it is safe to call him inconsistent … Is older than your typical Sophomore, as he’ll be 22 (August) by the start of next season  … Probably rushed his decision to turn pro due to his age … 
Overall: Sort of a forgotten man who some scouts felt could be a first rounder with a good sophomore year … Age and lack of production will cost him on draft day … Brown Jr has upside as a player who can defend either guard spot, and even some smaller SF’s … He is a good athlete with some nice physical attributes due to his length and body strength, and he is an active player who rebounds at a very good rate for a perimeter player … The outrageous dropoff in his shooting numbers are a discouraging problem though, as he was only a middling shooter the season before too (34 down to 26% from 3) … Add in his season-ending foot injury prematurely ending his season and the momentum he built as a prospect as a freshman had worsened … Still, considering he has a chance to carve a niche as a potential defense-first wing, it makes his chances of being selected in the draft and sticking greater  …
",7 ,9 ,195,bruce-brown
42,7 ,7 ,15,12/08/89,Senior ,St. Bonaventure ,8 ,2012,"6-10,",Father Michael Goetz ,"Mississauga, Ontario ",9 ,8 ,8 ,15,7 ,Andrew Nicholson ,93,8 ,Power Forward,8 ,8 ,Borko Popic –,"After not getting off to the start many expected for his senior season, he ended his career on a high note, playing extremely well down the stretch and especially in the A-10 conference tournament while leading his team to their first NCAA Tourney appearance since 2000. While displaying more tenacity and an improved skill set during this time, his ceiling is very high and he still has room to grow, making him a very intriguing prospect.",3/28/2012,"A versatile power forward with a high basketball IQ … While he only has decent size for his position, his tremendous length allows him to play much bigger … Extremely efficient scorer, he has made himself into a reliable inside threat (shows a nice mini hook over his left shoulder, is able to utilize an effective up and under and is also dangerous with a turnaround jumper) … Possesses an intriguing face up game, he has good quickness and regularly shows his ability to work off the dribble … He always had the ability to step out and shoot with range, but became a deadly option from beyond the arc during his final 10 collegiate games (he made 19/30 from long range during that time)… For a big man, his stroke is very smooth, he shoots the ball with good balance and is able to get good lift … He is a dangerous weapon setting screens on the ball as he loves to step out on pick and pop situations and is good at attacking the rotating defender because of his ability to sell the shotfake and then put the ball on the deck … Exceptionally good at moving without the ball, reads space and finds the openings in the gaps … During the 2nd part of his senior season, they ran him off staggered screens because of his ability to get open and knock down jumpers … Solid rebounder on both ends of the floor thanks to his length (but will need to attack the glass on a more consistent effort at the next level, as he won’t be able to get away with coasting like he did at times in college) … Very good shot blocker, has good timing and is aggressive coming from the weakside to contest shots … Has become consistent and reliable from the free-throw line … 

","Even though his body has improved during his collegiate career, he needs to continue working on it … He still lacks the bulk and upper body strength to consistently battle inside and he has a hard time establishing low post position against stronger players … Gets bodied and coerced into off balance shots … Good, but not a great athlete … His motor is a bit of a question mark, he has a tendency to take plays off on both ends of the floor and especially down the stretch of games … A bit selective as far as running the floor in transition … His condition must also improve as he has looked winded in the 2nd half of games … Turnover prone, he is not a great passer, especially out of double teams … Struggles operating in traffic and has a tendency to attack and spin into help defenders … Needs to continue adding more pieces to his low post repertoire, especially counter moves going to his left hand … 

",8 ,7 ,234,andrew-nicholson
43,8 ,NA ,38,01/31/98,Sophomore ,San Diego St. ,7 ,2019,"6-9,",Federal Way ,"Federal Way, WA ",7 ,8 ,7 ,42,7 ,Jalen McDaniels ,73,NA ,Small Forward/Power Forward,7 ,8 ,Kailey Jackson,"Measured 6′ 8.25′ barefoot, 6′ 9.75” in shoes, 191.6 lbs, 7′ 0.25” wingspan, and a 8′ 9.5” standing reach at the 2019 NBA Draft Combine … Playing in the Mountain West Conference, he flew under the national radar for the most part … An early entrant for the 2019 NBA draft and projected as a early to mid-second rounder … Declared for the 2018 NBA draft, but ultimately decided it was best to return for his sophomore season … Led San Diego State in scoring this year averaging 15.9 points per game … Recorded 11 double-doubles as a sophomore …",5/24/19,"A lengthy combo forward player (6-9 with a 7-foot wingspan) … Great ball handling abilities, especially for his height (6’9’’) … Able to take most defenders off the dribble with an array of moves to get to the spot he wants … Possesses the length to score over shorter defenders with hook shots and floaters … Strong finishing abilities around the rim … Draws contact when he gets into the paint, converting his free throws at a high rate (78.8%) … In the post, he is patient with his back facing the basket, fully aware of where the defensive pressure is coming from … Knows when to pass the ball to an open teammate when he is double-teamed … Crashes the glass, averaged 8.3 rebounds per game as a sophomore at San Diego State … Plays with great energy on the offensive end … Uses his length to steal the ball from opponents …
","Undisciplined defensively, often making careless fouls … Has a lot of upside on defense because of his overall size and wingspan, but his footwork is not where it needs to be … Tends to watch the ball bounce off the rim instead of finding a body to box out … Body has not shown the development it should have, raising some questions about his dedication and desire … Weighing only 195 pounds, he will need to add more strength and muscle … Must improve his outside shot, especially from the three point arc where he converted just 32% of his attempts this season … Inconsistent. Immensely talented, but seems to have a tendency to underachieve … 
Outlook: Has the size and skillset to play multiple positions at the next level … In order to excel in the NBA, he will need to add muscle, improve his defensive footwork and consistently knock down jumpers  … Expected to be drafted in the late first round or early second round of the 2019 NBA draft …
",8 ,6 ,190,jalen-mcdaniels
44,9 ,8 ,4,09/15/99,Freshman ,Michigan St. ,9 ,2018,"6-11,",La Lumiere ,"Indianapolis, IN ",8 ,9 ,7 ,4,7 ,Jaren Jackson Jr. ,98,7 ,Power Forward/Center,9 ,8 ,Tajh Jenkins,"Measured: 6′ 9.75” barefoot, 6′ 11.25” in shoes, 236.0 lbs, 7′ 5.25” wingspan, 9′ 2” standing reach, 7.20% body fat, 10.00 inch hand length at the 2018 NBA Draft Combine … ",6/10/18,"Very gifted athletically … Untapped potential … Impressive quickness/mobility/agility … His physical profile stands out as he’s listed at 6’11 and 235 lbs … His wingspan measured at 7’5 ¼” at this year’s NBA Combine (third longest player in the draft) … Standing reach is measured at 9’2, giving him tremendous size  … Fluid and coordinated as a runner…Has nice (huge) hands: measured at 10 inches in length … His offensive game is extremely versatile … He’s capable of facing up or playing with his back to the basket … Has shown the capability of hitting from mid-range … He flashed some offensive ball skills and control that could foreshadow his ability as an offensive talent … Great ball-handling skills for his size (he’s a near 7-footer who can effortlessly take defenders off the dribble with either hand) … Can put the ball on the floor in space, transition or on closeouts while using a variety of moves or making dump-off passes … Has a great first-step … Displayed great shooting consistency and efficiency from various areas of the floor: 59 percent on 2-pointers, 40 percent from the 3-point line, 51 percent overall from the field … Has nice touch and finishing ability around the rim with either hand … Active finisher around the basket … Can finish through contact … Showed a willingness to move without the ball … Constant threat to scores off cuts and with or without the ball in transition … Does a good job of running the baseline for alley-oops … Connected on 80 percent of his free throws … Defensively, he showed that he can defend in space and guard the perimeter extremely well for his size … Gets into his stance and slides his feet better than any other big man in his class … Projects to be the perfect defender for switches and closeouts at the next level … Shows good defensive awareness off the ball, allowing him to be a solid help defender and weakside shot blocker … Exceptional overall shot blocker, having averaged 3.0 blocks per game in his lone season at MSU … Possesses great rim protection, anticipation, range, and instincts … Solid post defender, didn’t bite on pump fakes often … He seems to always be quick to the ball … Never gives up on plays on defense … Goes hard after offensive rebounds (high-level offensive rebounder) … Has good timing on his putbacks … Plays aggressively and with hustle/energy … One of the youngest, if not the youngest, players in the draft … Won’t turn 19 years of age until September …
","A late bloomer in regards to his physical frame as he’s still a bit on the thin side … Still very much a kid and will require additional time to fully mature both on and off the floor … Would benefit from developing more muscle/strength for the next level (especially in the upper body) … He’s not overly bouncy or explosive … His overall offensive game is still unpolished despite the promise it has … Jackson has a tendency to get into foul trouble (averaged 8.6 fouls per 100 possessions … A lot of his fouls stem from him being undisciplined on defense … Foul trouble was a main reason why his playing time was diminished throughout his FR season … Needs to work on maintaining his balance as a low-post defender … May need to tweak his shooting mechanics (low release, knuckleball), but still projects as a solid outside shooter … Although he shot a high percentage throughout the season, he did attempt just seven shots per game (what will he do with an expanded role?) … Needs to polish his shooting off the dribble … He was too passive and therefore inconsistent at times … Not an elite below-the-rim finisher … Needs to learn how to move onto the next play (maturity) and not check out the game (mentally) when he makes a bad play or something doesn’t go his way … Lacks passing awareness … Doesn’t look comfortable making decisions with the ball … Remains to be seen if he can develop into a playmaker … His assist-to-turnover ratio left a lot to be desired … Not a shifty enough ball-handler in traffic … Can be a little wild and out of control when he puts the ball on the floor … Does not have a go-to move in the post that he can rely upon … Still developing the footwork that’ll be necessary as a viable low-post threat against bigger and stronger players in the NBA … 
Overall: Jackson is perhaps the best two-way big man to come out of this year’s draft and has enormous upside … He’s developed rapidly in one season under Tom Izzo at Michigan State … In the modern NBA, Jackson’s skillset is what is in demand from big men … He’s a complete big man who can shoot from deep, protect the rim and has no problem switching out to guards in the pick-and-roll or isolation … He just didn’t get a chance to really show the full range of his value on a consistent basis with the Spartans … He averaged just 21.8 minutes per game, and much of the reasoning behind that is because he was so foul prone (he also was the fifth option on most nights) … Jackson thoroughly contemplated returning to school for his sophomore year in order to show that he was capable of a larger role and averaging the 20-10 numbers that his contemporaries (DeAndre Ayton & Marvin Bagley III) put up throughout the season. But scouts and other NBA personnel don’t need to see another year of him in Spartans uniform to know that he has a ton of promise on both ends of the floor … One thing to note about Jackson is that he’s just scratching the surface of his abilities and is still realizing how good he can become … He’s built a strong case for top-5 consideration in this year’s draft, though he will probably require more patience than some of the other elite prospects …
",9 ,8 ,235,jaren-jackson-jr
45,9 ,8 ,4,09/15/99,Freshman ,Michigan St. ,9 ,2018,"6-11,",La Lumiere ,"Indianapolis, IN ",8 ,9 ,7 ,4,7 ,Jaren Jackson Jr. ,98,7 ,Power Forward/Center,9 ,8 ,Evan Tomes,"Son of former NBA player, Jaren Jackson … Measured 6’10, 225 lbs with a 7’4 wingspan and 9’1 standing reach at the 2017 Nike Hoop Summit …",11/2/17,"6’10 athletic big man with great length (7’4 wingspan and 9’1 standing reach) … Good athleticism, energy, and activity … Mobile, well-coordinated, and fluid … Good hands and touch around the basket … Can finish with either hand, doesn’t hesitate to shoot with his left hand … Good rebounder on both ends … Keeps the ball high after rebounds, not letting smaller defenders get a hand on it … Great defensive potential … Good timing as a shot blocker and gets off the ground quickly … Rotates and moves his feet well … Has ability to shoot from outside and has a quick release … Shows potential as a stretch big man … Can play the pick and pop … Good free throw stroke … Draws several fouls per game … Solid court vision, passing ability, and understanding of the game … Spaces the floor well offensively … Shoots the quick three at times but knows his role as a big man … Doesn’t try to do too much … Can put the ball on the floor and get to the basket when given a straight-line attack opportunity from inside the arc … Willing screener … Fits the mold for ideal big man in today’s NBA … Young for his class, won’t turn 18 until the middle of September of his freshman year …
","Low release on his shot, could use more arc … Sometimes rushes it and pushes it from his chest without getting it into the shooting pocket … Shoots quick at times from three and looks off balanced … Tends to lean forward on free throws … Post game is raw. Lacks technique around the basket … Doesn’t handle double teams well … At time he tries to put the ball on the floor in traffic, resulting in turnovers … Solid strength level and frame but will need to get stronger moving forward … Can improve finishing in traffic and handling contact … Would be more dominant if he were to develop more of a mean streak, and play with a little more emotion … May struggle some for playing time as a frehman playing with Nick Ward and Miles Bridges … 
Outlook: Incoming Michigan State freshman … Son of former NBA player, Jaren Jackson … Played in the McDonald’s All American Game, Jordan Brand Classic, and Nike Hoop Summit (13 points and seven rebounds) … Transferred to La Lumiere (29-1) for his senior year, leading them to win the Dick’s National Championship, averaging 15.7 points and eight rebounds in the tournament … Averaged 15.7 points and seven rebounds over the Nike EYBL … Won a gold medal with the 2016 USA Basketball Men’s U17 World Championship Team. Naismith High School All America honorable mention …
",9 ,8 ,235,jaren-jackson-jr
46,7 ,7 ,Overall:,10/28/89,Senior ,Yale ,7 ,Big ,"6-10,",Notre Dame-West Haven ,"Orange, CT ",8 ,8 ,7 ,84,8 ,Greg Mangano ,87,7 ,Power Forward/Center,7 ,6 ,Aran Smith,A fluid athlete with a chance to stick in the league if he can find a niche a la Matt Bonner as an automatic spot up shooter … His ability to knock down mid range jumpshots makes him an appealing option in the mid-late second round …,5/7/12,"Face the basket bigman with range out to 3 point … Has a great stroke showing the ability to catch and shoot with a quick, fluid motion … Prolific scorer for a bigman … Shows the ability to put the ball on the floor and create shots for himself facing or with his back to the basket … Strong pick and pop candidate for the next level, despite average numbers as a spot up shooter as a senior … Has a high release point and is comfortable taking shots without much separation with his defender and usually just leans back and shoots over them … Solid mobility and good legnth … Runs the floor well for a bigman … Long arms and quick hops allow him to be a quality shot blocker. Averaged 2.2 blocked shots per game as a senior and 3 per game as a junior … Sure hands to catch passes … Strong attitude and work ethic … Utilizes a nice right hook shot over his left shoulder … 
","A finesse player that prefers to float out to the perimeter. Not the most physical player … Needs to improve his offensive post play … Will need to get stronger to withstand the physicality of playing defense in the post … Offesnive rebounding is below average … Surprisingly shot just 33% from 3 and 66% from the line despite being a quality shooter … Talent level/statistics will be questioned due to playing in the Ivy league … Not the most explosive athlete … Foot speed is average … 
",8 ,7 ,231,greg-mangano
47,7 ,9 ,Overall:,04/22/90,Senior ,Oregon ,7 ,Big ,"6-7,",The Patterson School ,"Esfahan, Iran ",9 ,6 ,8 ,77,8  ,Arsalan Kazemi ,87,6 ,Power Forward,6 ,7 ,Michael Visenberg,"The first Iranian national to play Division I basketball … Has played nationally for Iran’s Senior Mens Team … Spent first three seasons at Rice University and his last season at the University of Oregon … Finished with over 1500 points and 1300 rebounds for his NCAA career with averages of 11.7 ppg and 10.1 rpg (along with 1.7 spg and 1.5 apg) … Knows his role incredibly well, great leader and teammate … Will be expected to go in, play aggressive and do what he does best, which is get rebounds … Taken 54th overall in the 2013 NBA Draft by the Washington Wizards, with his rights later traded to the Philadelphia 76ers",6/28/13,"Incredible pound-for-pound rebounder, averaged over 10 rpg in his 4 year college career and was one of the NCAA’s premier per-minute rebounders … Toughness which allows him to do damage in the paint, fantastic nose for the ball … Hustles and fights for offensive rebounds, gets most of his points near the basket … Has some ability to put the ball on the floor in space … Good passer with solid vision … Gets to the foul line with aggressive play, has a high rate for doing so with the limited possessions he uses … Plays passing lanes well, pesky defender with nice hands … Willing to sacrifice his body by taking charges, not afraid of getting in harms way … Off ball defense is solid due to his hustle, will front people to stop them from getting to their spots … Very low maintainance with a strong work ethic … Used to playing without the ball, very willing to set screens and do the dirty work … Gives maximum effort in his minutes on the floor, contributions come beyond the stat sheet
","Undersized for a PF and does not have the speed or range to defend the wing … Shooting range is very limited, showed no pedigree for outside shooting during his time in college and rarely scored past 12-15 feet … Despite having solid length, could definitely be bothered by length and strength on both ends of the floor … Not very fast as far as straight line speed, does not show blow by ability when guarded by bigger players … More of a slasher than a post threat, limited skills with his back-to-the-basket … Can struggle with double teams, has a hard time putting the ball on the floor without space … Does not create offense for himself beyond hitting the offensive glass, got very few of his points in transition … Still weighs only 228 lbs, should probably put on some weight if he hopes to be defending PF’s at the NBA level … A decent athlete by PF standards, however his body is definitely closer to a SF if anything
",6 ,8 ,230,arsalan-kazemi
48,8 ,8 ,N/A,06/06/94,International ,France ,7 ,88,"6-4,",Team Site Profile,"Les Abymes, Guadeloupe ",82,7 ,7 ,Overall:,7 ,David Michineau ,88,7 ,Point Guard,7 ,7 ,Davide Bortoluzzi,"In the 2015-16 season, Michineau helped Chalon advance to the Final Four of the FIBA Europe Cup and to a solid season in French first division, when he had 7.3 points 1.7 assists of average. ",6/24/16,"As a 6-4 PG, with a 6-5 wingspan, he has very good size for the position and a solid frame on which he can put on some additional muscle … This is combined with impressive speed and athleticism … By European standards, he’s really explosive, plays above the rim, and has a very fast first step … He’s able to use his quickness in the half-court game to beat the his defender and is really effective in transition … His shot mechanics are improved and he definitely has shown range and a reliable pull-up jumper … Shows solid passing instincts, unselfish, and looks for teammates when the defense collapses after his first step … His athletic skills can be used on the defensive side, where he puts pressure on opponents and makes quick recoveries and closeouts … Still seems to be improving and could have some upside left to develop in terms of skills: Ball handling and passing are average but show room for improvement …
","At 180 lbs, he’s still skinny, and needs to put some time into the weight room, and add strength, especially to his upper body … He lacks elite court vision and his decision-making definitely needs improvement, including pace management during the game … This is leading to frequent turnovers, which are often higher than his assists … Definitely not a pass first point guard since he tends to force shots and rely too much on his outside shot, which is definitely inconsistent. Will need to become a better vocal leader … 
",7 ,8 ,180,david-michineau
49,8 ,NA ,35,07/17/97,Sophomore ,Indiana ,9 ,2017,"6-7,",Jefferson City ,"Jefferson City, MO ",6 ,8 ,7 ,32,7 ,OG Anunoby ,76,NA ,Small Forward/Power Forward,8 ,7 ,Brandon Jefferson,"Measured: 6′ 6.25” barefoot, 6′ 7.75” in shoes, 232.4 lbs, 7′ 2.25′ wingspan, and 8′ 11.5” standing reach at the 2017 NBA Draft Combine … Averaged 25 mpg, 11.1 ppg, 5.4 rpg, 56.3 FT%, 31.1 3P%, 55.7 FG% in 16 games as a sophomore … Measured 6’6.5 without shoes, 243 lbs, 7’2.5 wingspan, and a 8’10.5 standing reach in the summer of 2016 … ",5/8/17,"Excellent wingspan (7’2.5”) for his size … Possesses the body control to get to and finish at the rim … Very capable of making an impact off of straight-line drives … Has an NBA-ready frame … Surprising lateral speed for a player with as much muscle mass as he shows … Defensive potential is his calling card … Already shows the signs of being a high-level defender … Can guard multiple positions on the court … Length could allow him to develop into a small-ball big in the future … Light on his feet on the perimeter … Disruptive defender, jumps passing lanes whenever he sees the opportunity … Was an interior presence defensively, especially as the weak side defender … Able to stay on the floor and block shots as a perimeter defender due to excellent reach … Possesses nice defensive instincts … Closes out well and under control on shooters … Flashed solid footwork understanding on the offensive end … Will make open or uncontested threes … Shot has a nice rotation and backspin on it, hits the rim softly … Sees and makes the extra pass … Monster on the offensive boards … Can keep possessions alive with rebounds and will convert second-chance opportunities into baskets …Very good cutter off the ball … Good at cutting back door. Looks for defender to turn head and then makes his baseline move to the lane … Ally oop threat, likely to make plenty of highlight plays on lob passes … His offensive numbers are misleading as he actually has very good potential as a shooter, if he can hone his ability in using deception to create looks … 
","No real defined role offensively yet … A little bit stiff in his movements and running the floor … Thick legs … Doesn’t always exhibit an ideal level of intensity … Needs to work on his ability to create shots … Shot mechanics need some fine tuning as he has a bit of a slow release and seems to telegraph his shot too often … His motion gets sped up if a defender is too close to him … Shoots with minimal arc and not much rotation … Only shot 52 percent from the free throw line … Is not a strong ball handler, dribbles high and away from body … Can be very loose with the ball, especially with his off hand … Does not create his own offense … Won’t be an instant facilitator at the next level … Has trouble recognizing the open player as a playmaker … His effort was very up-and-down during his stint at Indiana … While he has the tools to become a quality defender, was slow at times reacting on defense … Late-bloomer so his basketball IQ needs some catching up …  Post skills are extremely raw and in need of refinement … While he shows solid attributes and potential as a rebounder, remains extremely unproven having averaged 2.6 and 5.4 rebounds per game over his FR and SO seasons … Is recovering from a torn ACL suffered in late January, which could cloud his draft stock … 
Outlook: Hoping to capitalize on the substantial internet hype that he had generated, Anunoby entered the 2017 draft and signed with an agent, despite a disappointing season in which he suffered a torn ACL … After shutting down Kentucky freshman Jamal Murray in the Round of 32 in the 2016 NCAA Tournament, Anunoby became a hot name and one to watch for in the 2017 draft class … His numbers saw an uptick, but with his struggles in getting clean looks, his game didn’t change much before he ultimately went down with an injury … Had Tom Crean kept his job at IU, Anunoby likely would be back in Bloomington, IN … However, with him being young for his class (won’t turn 20 until September) and possessing the body and athletic profile that he does, he certainly possesses a lot of intrigue to teams … A bit of a tweener as he lacks a polished skill set, especially offensively at either forward position … At this point he’s a project, coming off a major injury … With proper development, Anunoby could become a valued asset in the modern NBA game …

",8 ,8 ,235,og-anunoby
50,7 ,8 ,12,06/24/96,Sophomore ,Duke ,7 ,2017,"6-6,",Franklin ,"Franklin, OH ",9 ,9 ,8 ,12,9 ,Luke Kennard ,93,8 ,Shooting Guard,7 ,7 ,Clayton Crowe,"Measured 6’5 (with shoes) 182 lbs with a 6’4.5 wingspan at the 2013 LeBron James Skills Academy … Measured 6’4.75, 189 lbs, with a 6’5 wingspan and 8’3.5 reach at the 2014 USA U18 tryouts … Measured 6’5 (in shoes) 183 lbs, with a 6’4.5 wingspan at the 2014 Kevin Durant Skills Academy …. Measured 6’4.5 without shoes, 6’5.5 with shoes, 192 lbs, with a 6’5 wingspan and 8’3.5 standing reach at the 2014 USA Junior National Team Mini Camp",3/29/2017,"Crafty lefty with an ability to score from anywhere on the floor … Big time development from his freshman to sophomore campaign …  Extremely fluid player on the offensive end … One of the best shooters in college basketball and can do so in both catch and shoot situations as well as coming off screens … Good pull up game as well … Not an overly quick first step but defenses must respect his ability to knock down shots with limited space so it helps him get defenders off balance … Moves extremely well off the ball and creates a lot of space with his ability to utilize screens … Extremely high basketball IQ with improving play making abilities.  Good vision in both the half court and open court settings.  Limits turnovers for a guy with the ball in his hand as much as he did last season with Duke not having a true PG … Can finish at the rim and through some contact and has the ability to use both his left and right hands to get shots off once in the paint … Good size (6’6) for the two-guard position at the next level but lacks great length … 6’5 wingspan and 8’4 standing reach, the same as Donovan Mitchell … Showed great leadership capabilities during his sophomore season at Duke as he was the glue that held the oft injured/suspended team together during the season’s first two months …
","Not a bad athlete by any means but not the explosive type of guy that you would want out of a potential lottery pick … He’s going to play on the wing at the next level and will be going up against the league’s best when it comes to that category … His aforementioned wingspan would rank in the bottom third of the league at 6’5 … Lacks explosiveness at the rim and is more of a crafty scorer than a guy that is going to get into the lane, absorb a ton of contact and get to the free throw line … Moves his feet well on defense but can get burned by quicker players on the perimeter … Will need to be in a good defensive scheme with better individual defenders around him to be effective on that end of the floor … Had an extremely poor showing in the NCAA Tournament as Duke fell short of expectations as they fell to South Carolina in the Round of 32 …
Overall: Few players in the entire NCAA did more for their draft stock this season than Kennard … Coming into the 2016-2017 season he was considered a solid role player and a guy who might get some draft consideration in 2018 or 2019.  Led the ACC in scoring during the regular season.  Lot to love about his game one the offensive end and a lot to be desired on the defensive end.  Kennard is just one of those guys who ""gets it"" and knows how to play the game.  Rarely gets out of control and seemingly does whatever he needs to for his team to win on any given night.  He will be one of those guys who surprises people at the next level and should stick around in the league for quite some time due to his overall skill set and versatility on offense.
",7 ,7 ,195,luke-kennard
