,age,board_rank,draft_year,height,name,negative_report,position,positive_report,school,school_year,weight,wingspan,standing_reach,Rookie_BPM,Rookie_VORP
10,19.9,12.0,2020,75.0,COLE ANTHONY,"Shot selection: He forces too many contested looks instead of looking to pass, which causes bouts with streakiness. Not a pure playmaker, nor does he naturally make his teammates better. He needs to work on making advanced reads, but even on the simple passes his accuracy is underwhelming. Defensive versatility: He plays hard and smart, but he’s still undersized and likely to be targeted by opponents on switches or against elite guards.",Guard,"Talented shooter. He knows how to relocate off-ball, balance himself midair, and drain off-the-catch 3s. Constant threat to score thanks to his ability to hit stepbacks and pull-ups from all over the floor. Ambidextrous finisher with hops, body control, strength, and touch; he’s much better than his numbers indicate because of North Carolina’s horrific spacing in the half court, often with two nonshooting bigs on the floor. Dynamic ball handler who could thrive with more room as a pick-and-roll threat. He strings together combo moves, showing off a mix of change-of-pace dribbles with crosses using either hand. He looks to score first, but can make basic passes. Dangerous transition threat. He’s an excellent defensive rebounder, and he can provide a jolt by sprinting down the floor on the break. Feisty on-ball defender who has a sturdy frame and excellent lateral movement. Impactful off-ball defender who keeps his head on a swivel and makes timely, fundamental rotations and occasionally flies in for weak-side blocks.", North Carolina,freshman,190,76.5,NaN,,
11,19.2,13.0,2020,77.0,RJ HAMPTON,"Inconsistent footwork hurts his jump shot. His feet always seem to be lined up differently, though they’re generally too close for him to cleanly release his shot. His upper body looks good, though. Without a reliable jumper, his strengths will be diminished. Selecting him is a big bet on the development of his shooting ability. Though his at-rim finishing is an overall positive, he must get stronger so he can absorb contact better and not overly rely on crafty finishes. He’s a raw playmaker still figuring out how to make his teammates better. He makes some bad reads and occasionally forces passes.",Guard,"He can hit turbo on drives to the rim, and has explosiveness when elevating for layups. He stays low on crossovers, and displays advanced moves with herky-jerky hesitations. Displays the fundamentals, craft, and body control to become a good interior finisher. Playmaking potential. Loves one-handed whip passes off the dribble, and throws them with precision. Doesn’t make advanced reads but flashes the ability to develop in pick-and-roll. Good off-ball player: He’s an aware cutter, relocates well around the perimeter, and runs like Forrest Gump in transition. Gotta love the hustle. Long-term defensive upside because of his athleticism.", New Zealand Breakers,NaN,188,79.0,NaN,,
12,19.3,14.0,2020,81.0,DENI AVDIJA,"Worrisome shooting: He has solid form but has posted poor percentages from the floor and the line. Off the catch, he tends to pause as he adjusts the ball in his hands. He’s streaky, but he also may just lack touch. Doesn’t have top-end burst or springs, so he’ll really need to master his ball handling to maximize his ability to create space and shots. He’s an active on-ball defender but lacks the lateral quickness to contain quicker players. He works hard, though, and NBA conditioning programs should help. Lacks the length to be an effective rim protector—both as a small-ball big and as a help defender in traditional lineups.",Wing,"Great playmaker for his position. He’s savvy in the pick-and-roll, rarely makes mistakes, and attentively locates cutters and shooters. He keeps the ball moving in the half court and pushes the ball ahead on the break. Solid ball handler. At 6-foot-9, he doesn’t have much shake, but he knows how to change speeds with enough aptitude to clear room for his passes. His best role could be as a playmaking hub from the post and on the short roll due to the combination of his height and passing ability. Strong finisher who can use either hand and scores through contact. Loves to pump-fake. He’ll fearlessly drive into the paint and challenge rim protectors. Excellent team defender who rotates well and typically finds himself in the right position. He’s not an athletic player, but can make an impact with his positioning as a reliable help defender. Good intangibles. He knows how to use his strength: He plays hard and constantly competes. He also takes analytics-friendly shots by mostly scoring on 3s and layups.", Maccabi Tel Aviv / Israel,NaN,215,81.0,NaN,,
13,20.5,15.0,2020,78.0,AARON NESMITH,"Struggles finishing at the rim against length and contact. He’s not much of a leaper and is prone to getting his shot blocked or heavily altered. Shot-creation ability: He lacks shake as a ball handler, burst on drives, and explosiveness in the paint. Passing vision: He can make basic reads, but he isn’t going to make any advanced plays or deliver the ball with precision.",Wing,"Unlimited range; spaces the floor by demanding a defense’s attention. Skilled shooter off screens who takes tight routes, makes smart reads, and has elite fundamentals from catch to release. Comfortable shooting 3s off the dribble. He has a nice side step and stepback 3 with clean footwork. Straight-line driver who is decisive attacking closeouts. With his size and strength, he could develop into a good finisher. Understands his role and excels within it. He’s a great screener, executes plays, takes smart shots, and keeps the ball moving. Competitive on-ball defender; with some improved fundamentals and athleticism, he could become far more versatile. Intelligent defender. Though he’s not a great athlete, his positioning makes him a deterrent at the nail and around the rim.", Vanderbilt,sophomore,213,82.0,NaN,,
14,19.0,16.0,2020,75.0,KIRA LEWIS JR.,"Drives recklessly since he’s still learning how to slow down and play with pace; doing so may also improve his vision and ability to finish. A good-but-not-great playmaker. He doesn’t have the tightest handles or the most advanced moves. The ball often gets poked away and his inaccurate passes can cause shooters to fall off balance. Needs to improve shooting off the dribble, especially when going right. He also lacks a reliable floater. Shows a willingness to draw contact, but needs to improve at finishing off-balance shots with touch. Not a switchable defender due to his size: He’s incredibly light, and lacks a frame to support much more weight.",Guard,"Dynamic shot creator who blends speed, acceleration, and body control with quality crossovers and hesitations to find high-percentage shots. Pick-and-roll playmaking habits bode well for his potential. He does a great job getting into the paint and then whipping the ball to perimeter shooters. Smooth stroke with bouts of streakiness, but his form, free throw percentage, and shot selection are all positive long-term indicators. Agile on-ball defender who moves well laterally and fights through screens; but he needs to get a lot stronger to contain bigger guards. Active off-ball defender who does a good job helping, digging, and getting in passing lanes without taking too many risks.", Alabama,sophomore,165,78.0,NaN,,
15,18.7,17.0,2020,80.0,PATRICK WILLIAMS,"Still developing as a spot-up shooter. He had to improve his form in high school to become a good free throw shooter (84 percent), but still struggles off the catch with a low, slow release. He totaled nearly double the number of turnovers (50) as he did assists (29). Despite a knack for playmaking, he got called for countless travels due to raw footwork and forced drives into traffic.",Wing,"Efficient at-rim scorer who uses either hand on athletic extended finishes. Talented scorer off the dribble who can rise—and sometimes hang —before draining tough, contested jumpers. Sound decision-maker who plays within the system. He doesn’t pause possessions; he keeps the ball moving. Nor does he force bad shots; he looks for an open man. Good playmaker for his size due to his solid handle and excellent passing vision. He loves to use hesitations, especially in the pick-and-roll, and he can deliver accurate passes off the dribble. Does the little things like cutting, screening, and rebounding. With his size and skill, it’s projectable for a team to use him like a big as an on-ball screener who can pop for 3s or dive to the rim. Smart, athletic team defender who communicates and disrupts actions with timely help defense. Gritty player who hustles hard on defense. He’s had a handful of inspired chasedown blocks. As a rim protector, he’ll put in multiple efforts to get stops. Flashes versatility on-ball in a switch-heavy scheme at Florida State. With improvements to his athleticism, he could shine.", Florida State,freshman,225,83.0,NaN,,
16,19.4,18.0,2020,78.0,JOSH GREEN,"Displays some semblance of body control at the rim, but needs to improve against contact and with his left hand to become an effective finisher. Loose handle; he shows flashes but currently lacks control. With a slow first step, he’s limited as an isolation and pick-and-roll scorer. Though he is a smart decision-maker, he occasionally throws inaccurate passes that could otherwise have resulted in easy shot attempts.",Wing,"Good spot-up 3-point shooter who boasts the touch to hit easy pull-ups. Nifty player with a natural feel for making behind-the-back passes or spinning into a shot, though he needs to settle for fewer floaters. Energetic on-ball defender with good footwork and anticipatory skills, mirroring movements of his opponent. Versatility to switch on screens with the combination of lateral quickness against guards and strength against larger wings. Energetic off-ball defender who stays engaged and rotates well; he’s a smart helper who will disrupt plays and rack up deflections and steals.", Arizona,freshman,210,82.25,NaN,,
17,21.0,19.0,2020,80.0,SADDIQ BEY,"Not an explosive player; he lacks a quick first step, and shows little burst on the drive or hops around the rim. Clunky off-hand dribbler with limited shot-creation ability against pro defenders. Screening must improve so teams can use him in set actions, taking advantage of his deft post abilities against smaller players.",Wing,"Good spot-up shooter with a lightning-quick release, and a comfortable scorer off the dribble and off movement; he can take a pull-up or run off a simple screen. Flashes secondary playmaking skills in running pick-and-rolls, attacking in straight-line drives, and while facing up in the post. Smart decision-maker who attacks closeouts and delivers accurate passers to cutters and shooters. Versatile defender capable of matching up across positions due to his blend of size and agility; he also sets the tone with his intensity. Aware off-ball defender who rotates well and communicates with teammates.", Villanova,sophomore,216,82.0,NaN,,
18,18.3,20.0,2020,84.0,ALEKSEJ POKUSEVSKI,"He’s so skinny; few players with his frame find success in the NBA. He may never be a good one-on-one defender because of physical limitations. It is vital that he finds an excellent strength-and-conditioning program. Inconsistent defensive effort. He plays like he’s 6 feet sometimes, not even bothering to contest shots with his long wingspan. Tries to do too much on offense. He forces tough shots and tries ill-advised moves rather than making the sensible play. Doesn’t hold his follow-through on jumpers, which is one of the reasons for his streakiness; better fundamentals will lead to better results.",Big,"Versatile shooting potential: He has good footwork and body control, with a compact release coming off screens and off the dribble; he can rise and fire even with a hand in his face. Nifty passer who can deliver a variety of precise dimes. At 7 feet, he can make passes over the top of the defense in the pick-and-roll that most players can’t. He has good handles for his size, using hesitations, crossovers, and long strides to create separation. His movements are also decisive; there are very few record scratches when he possesses the ball. It’s easy to envision an offensive role for him as a floor spacer and secondary handler in the half court, and as a transition playmaker who rips down rebounds and jump-starts possessions. Potentially a versatile defender if he gets stronger. He has agility and fluidity, and he can swarm smaller opponents with his 7-foot-3 wingspan. Attentive off-ball defender who communicates and jumps passing lanes to deflect passes.", Olympiacos B / Serbia,NaN,201,87.0,NaN,,
19,20.6,21.0,2020,81.0,PRECIOUS ACHIUWA,"Turnover prone: He doesn’t read defenses well and often forces shots or drives into a sea of defenders. In the pick-and-roll, he needs to master the short roll pass. Poor shooting touch: He shot 60 percent from the line, 26 percent on floaters, and 30 percent on jumpers. With shaky lower-body mechanics, there’s a lot of work to be done to make him passable at the pro level.",Big,"Pick-and-roll upside: He can roll and finish with athleticism or put the ball on the floor and get to the rim. Active rim runner in transition. He can also pull down rebounds and sprint ahead with the ball himself. Good rebounder, and he’s especially active on the offensive glass. Athletic defender who makes plays in the passing lanes as a mobile helper. With his length and strength, he could develop into a rim protector in smaller lineups. High defensive potential thanks to his physical measurements and quickness, but his fundamentals and discipline must improve.", Memphis,freshman,225,86.0,NaN,,
20,19.5,22.0,2020,81.0,JADEN MCDANIELS,"Poor finisher who struggles at dislodging defenders on his drives and at handling contact in the paint. With such a thin frame, he may never be able to pack on weight to be more effective. Defenses can comfortably switch smaller players on him; he isn’t strong enough to exploit them with drives or post-ups. Lacks playmaking skills. Coaches will be frustrated by his bad decisions; it seems like every quarter he hurls his body into a crowd rather than looks for a simple kick-out pass.",Wing,"Excellent ball handler for his size with nifty side-to-side moves that help him get into pull-up jumpers out of the pick-and-roll. He has deep range, and is also comfortable launching from midrange. Good spot-up shooter with smooth mechanics. He’s shown the ability to hit 3s off handoffs, though that might not be part of his NBA role. Potentially a versatile defender thanks to his blend of length and quickness. He’s proved to be an effective weak-side shot blocker, and fared well in college on switches against speedy guards.", Washington,freshman,200,83.5,NaN,,
21,18.8,23.0,2020,76.0,THEO MALEDON,"Struggles to create space despite his change of pace and use of in-out dribbles and crossovers. He gets enveloped by quality defenders who beat him to his spot, and currently lacks the ability to counterattack. Doesn’t put a lot of pressure on the rim as a ball handler, which may limit his value as a playmaker if he’s not creating angles for kickout 3s. The flashes are there, but he must master his handle. Despite his size, he hasn’t had success on switches against larger players, offering little resistance.",Guard,"Plays with a controlled pace in the pick-and-roll. He loves to use hesitations to compensate for his lack of athleticism. He’s a dual threat, dangerous as both a passer and shooter off the dribble. Shoots well off the catch and off the dribble. He’s not dynamic, but has nice form and can score when called upon. Crafty finisher who is comfortable scoring off the wrong foot or with his off-hand. He has a nice touch on off-balance layups, finger rolls, and floaters. Sturdy frame with long arms; he projects as a reliable man-to-man defender if his fundamentals improve. He has made steady progress each season and possesses a high work ethic. He’s also mentored by Spurs legend Tony Parker.", ASVEL / France,NaN,174,80.5,NaN,,
22,20.6,24.0,2020,79.0,ROBERT WOODARD II,"Loose handle, which leads to the majority of his turnovers. Lacks quickness to comfortably defend guards on switches.",Wing,"Smart team player who cuts and moves well off-ball. With his size and fluidity, he could have value as an on-ball screener in smaller lineups. Skilled finisher at the rim who can pull off acrobatic layups. Good passer; he makes quick decisions with the ball and tends to deliver with accuracy. Improved as a shooter from his freshman to sophomore seasons (27 percent to 43 percent from 3 and 58 percent to 64 percent from the line). Flashes the ability to pull up from midrange—his shot actually looks more fluid here than it does on catch-and-shoot attempts. Active rebounder and terrific team defender. He’s sound inside, helping bigs and then closing back out on shooters. With a long wingspan, he can disrupt passing lanes.", Mississippi State,sophomore,235,85.0,NaN,,
23,19.1,25.0,2020,75.0,NICO MANNION,"Lacks burst off the dribble, which hinders his ability to attack the basket. Struggles to turn the corner. Doesn’t possess advanced moves to create separation. Settles for too many floaters, and he makes many of his at-rim attempts harder than they should be. He hunches over when he shoots from deep. It’s a mechanical issue that may be the cause of his disappointing 3-point percentages in college.",Guard,"Shot maker who can fire 3s off the dribble or run off screens. Comfortable finishing around the rim using either hand. He has one of the softest touches in the class, with a floater that’s effective out to the elbows. Savvy pick-and-roll presence thanks to his change-of-pace play. He can pull up or split defenders to get into the paint. Instinctual passer with a high IQ; he makes rapid decisions facilitating. He weaponizes his shooting ability to create passing lanes, and loves to attack the baseline before wrapping around passes to bigs. Dynamic player in transition. He can race ahead of the defense for 3s and loud open-floor finishes, or handle the ball and facilitate scoring chances. Active defender who’s agile moving laterally and attentive off the ball.", Arizona,freshman,190,74.5,NaN,,
24,20.7,26.0,2020,74.0,DEVON DOTSON,"Shooting off the dribble: He doesn’t transition fluidly into his shot, and hit only 27 percent of his dribble jumpers in two seasons. Spot-up shooting mechanics look tense; he hit only 35 percent of his catch-and-shoot 3s in college. Plays too fast for his own good at times, driving into the lane and tossing up wild shots or passes.",Guard,"Manufactures baskets even against a set defense because of his tight handle and speed. He has advanced moves and a quick first step, and accelerates in a flash. Excellent driving to the rim; he’s fearless and draws a ton of fouls. Can generate space or contact with advanced footwork and an array of moves. Ambidextrous finisher and explosive jumper who knows how to use his body to shield off defenders. Shot 81 percent on 300-plus attempts from the free throw line, which bodes well for his long-term 3-point shooting ability if he improves his form. Constantly improving as a playmaker; he’s learned how to draw defenders in to create open looks for teammates. He’s not a passing savant, but he does his job well and limits mistakes. Feisty defender who plays bigger than his 6-foot-3 wingspan would suggest. With a strong frame, he can at least battle and mirror opponents laterally.", Kansas,sophomore,185,75.25,NaN,,
25,20.1,27.0,2020,82.0,JALEN SMITH,"A bit slow to elevate around the rim. He excelled in college but will need to become quicker in the pros. Doesn’t establish deep seals to get ideal post positioning due to his weak lower-body strength. Subpar passer. He panics when pressured, especially on the post. Even when he has space, he telegraphs passes like a quarterback staring down his receiver. Lacks agility changing directions, which especially hurts him on defense. Even if he recognizes a play, he can be a beat late.",Big,"Talented shooter with sound mechanics. He excels off screens and handoffs. His size and position make him even more valuable. Dynamic screening threat: He sets strong, fundamental picks, and forces defenses to respect his ability to dive to the rim or pop out for a 3. Good interior finisher with either hand. He has touch, and he can finish with power, especially on putbacks when crashing the boards. Runs the floor hard. He’ll beat defenses for dunks and layups, but he can also trail and drain 3s. High-motor, high-IQ defender. Solid shot blocker with a savvy sense of timing. Boxes out on the boards and rebounds well.", Maryland,sophomore,225,85.5,NaN,,
26,19.6,28.0,2020,79.0,LEANDRO BOLMARO,"He needs to improve his off-hand to compensate for the fact that he’s a below-the-rim finisher who struggles against length. Without a reliable jumper, most of his strengths are moot. He shot 28 percent from 3 and 66 percent from the line in three professional seasons overseas. There are some quirks in his jumper, especially in his wrist, that need to be ironed out.",Guard,"He can make every pass in the book using either hand. He sees passing lanes that few others can, and makes the reads so quickly that it’s as if he’s two steps ahead. Slick ball handler who gets where he wants on the floor with his change-of-pace moves and tempo despite a lack of elite athleticism. Good touch on floaters, runners, and layups, which bodes well long term for his subpar jump shot. Intelligent off-ball player who cuts and relocates like a veteran. High-effort defender who beats opponents to spots and does a great job of fighting over screens. Alert team defender who rotates well, digs down in the post, and provides overall cohesion.", Barcelona / Argentina,NaN,180,80.0,NaN,,
27,22.2,29.0,2020,79.0,TYLER BEY,"Used as an interior player in college, which won't be his role in the NBA. He’ll need to make adjustments to play on the perimeter.",Wing,"Intriguing offensive upside as a center: He’s a good screener and an athletic finisher. If his 3-point progress is for real, he’ll also be able to stretch defenses. Displays potential as a spot-up shooter. He has some funky mechanics, but they’ve gotten him this far. He has good touch from the line too. Excellent off-ball defender who communicates well and keeps his head on a swivel. He’s fearless, too; he’ll contest shots even if he risks being put on a poster. Typically, he’ll alter or block shots with his verticality and length. High-level on-ball defender. Quick laterally and can also switch on screens. He’s capable of containing guards and wings, though his thin lower body might limit him against bigs.", Colorado,junior,216,85.0,NaN,,
28,21.8,30.0,2020,78.0,DESMOND BANE,"He needs to tighten his handle to create space against athletic defenders. Though he improved in that area at TCU, he still has room to grow. Lack of burst or a quick first step, plus his short arms, could limit both his at-rim finishing ability and his defensive impact.",Guard,"Knockdown shooter who thrives running off screens and using manipulative moves to shake loose from defenders. Despite unorthodox mechanics, he shot 43 percent from 3 and 80 percent from the line in four years at TCU. Comfortable shooting off the dribble. He won’t be an iso threat in the pros, but can attack a mismatch or pull-up to punish a scrambling defense. Excels at pick-and-roll decision-making, playing with pace and delivering accurate passes all over the court. Solid finisher who can use either hand around the rim. He has touch, which is vital since he lacks hops. Decisive player who reads the floor at a high level. He cuts and relocates well and facilitates effectively and intentionally. Excellent defensive fundamentals: He sits in his stance and rapidly reacts to cut off drives. With a strong frame and quick hands, he has versatility.", TCU,senior,215,77.0,NaN,,
